code,edge_id,expected_behavior,soc_code,title,work_state,residence_zip,employment_classification,exempt,total_comp_2026
SCL-001,-,coverage sweep row,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",AK,99588,Regular Full time (FT),Non-Exempt,"$79,800.00"
SCL-002,-,coverage sweep row,19-4071,Forest and Conservation Technicians,AL,36005,Regular Full time (FT),Non-Exempt,"$54,300.00"
SCL-003,-,coverage sweep row,17-2199,Mechatronics Engineers,AL,36009,Regular Full time (FT),Non-Exempt,"$69,300.00"
SCL-004,-,coverage sweep row,17-1011,"Architects, Except Landscape and Naval",AL,35010,Regular Full time (FT),Non-Exempt,"$73,000.00"
SCL-005,-,coverage sweep row,11-9199,Brownfield Redevelopment Specialists and Site Managers,AL,35006,Regular Full time (FT),Non-Exempt,"$116,800.00"
SCL-006,-,coverage sweep row,19-4051,Nuclear Monitoring Technicians,AL,35552,Regular Full time (FT),Non-Exempt,"$51,700.00"
SCL-007,-,coverage sweep row,43-4171,Receptionists and Information Clerks,AL,36027,Regular Part time (PT),Non-Exempt,"$27,400.00"
SCL-008,-,coverage sweep row,39-5094,Skincare Specialists,AL,35053,Regular Full time (FT),Non-Exempt,"$35,700.00"
SCL-009,-,coverage sweep row,21-1013,Marriage and Family Therapists,AR,72413,Regular Full time (FT),Non-Exempt,"$32,900.00"
SCL-010,-,coverage sweep row,29-9091,Athletic Trainers,AR,38769,Regular Full time (FT),Non-Exempt,"$48,700.00"
SCL-011,-,coverage sweep row,29-1124,Radiation Therapists,AR,71831,Regular Full time (FT),Non-Exempt,"$86,700.00"
SCL-012,-,coverage sweep row,25-1053,"Environmental Science Teachers, Postsecondary",AR,71846,Regular Full time (FT),Non-Exempt,"$41,000.00"
SCL-013,-,coverage sweep row,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",AR,71701,Regular Full time (FT),Non-Exempt,"$37,000.00"
SCL-014,-,coverage sweep row,51-9111,Packaging and Filling Machine Operators and Tenders,AR,72021,Regular Part time (PT),Non-Exempt,"$37,700.00"
SCL-015,-,coverage sweep row,47-2151,Pipelayers,AR,72703,Regular Full time (FT),Non-Exempt,"$25,000.00"
SCL-016,-,coverage sweep row,27-4032,Film and Video Editors,AZ,85120,Regular Full time (FT),Non-Exempt,"$46,700.00"
SCL-017,-,coverage sweep row,51-5113,Print Binding and Finishing Workers,CA,95901,Regular Full time (FT),Non-Exempt,"$43,000.00"
SCL-018,-,coverage sweep row,29-1291,Acupuncturists,CA,93215,Regular Full time (FT),Non-Exempt,"$34,400.00"
SCL-019,-,coverage sweep row,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,CA,96006,Regular Full time (FT),Non-Exempt,"$37,100.00"
SCL-020,-,coverage sweep row,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",CA,93210,Regular Full time (FT),Non-Exempt,"$36,000.00"
SCL-021,-,coverage sweep row,53-6011,Bridge and Lock Tenders,CA,96022,Regular Part time (PT),Non-Exempt,"$38,100.00"
SCL-022,-,coverage sweep row,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",CA,90265,Regular Full time (FT),Non-Exempt,"$37,300.00"
SCL-023,-,coverage sweep row,43-9081,Proofreaders and Copy Markers,CO,80020,Regular Full time (FT),Non-Exempt,"$53,700.00"
SCL-024,-,coverage sweep row,49-3021,Automotive Body and Related Repairers,CO,81323,Regular Full time (FT),Non-Exempt,"$32,600.00"
SCL-025,-,coverage sweep row,51-4199,"Metal Workers and Plastic Workers, All Other",CO,81130,Regular Full time (FT),Non-Exempt,"$40,000.00"
